right ascension (deg),declination (deg),roll (deg)
83.758217,53.882604,47.958509
266.544843,89.403636,113.895876
144.514859,-3.265839,42.325248
295.766409,11.64322,306.359112
231.541135,-77.197664,255.393053
121.990191,-78.519318,54.780003
295.308184,-67.919604,44.691438
223.078246,-27.732502,75.843631
17.118167,10.136146,5.08128
181.971038,31.836847,344.134135
72.858935,20.148824,98.965632
225.788357,-38.510135,228.968325
175.318447,22.570879,224.278912
147.447557,-40.112642,97.297319
175.530341,-4.92813,318.982478
194.72379,-71.58958,308.964496
291.491403,17.42305,293.389236
24.975128,-59.299448,178.170898
136.274292,19.508657,320.619213
251.982663,-38.539096,343.654027
41.254938,-77.128588,113.191427
203.941213,-37.980135,244.645924
301.457962,-85.03976,305.971773
167.006114,-83.931982,271.284392
96.284429,14.419337,77.568708
293.924198,-56.850579,183.605809
244.868158,17.454819,114.754877
245.611213,-43.771335,249.055308
261.362251,48.936628,11.777232
153.310207,-66.829081,293.768622
87.270075,76.800328,214.230943
196.652923,40.116131,336.852877
235.137618,-65.700184,123.569141
241.93281,78.694354,54.742496
342.937106,-63.349298,27.310657
237.041186,26.357329,256.045431
152.417946,-35.570471,161.277488
297.941083,42.53229,266.051344
288.107808,85.924723,297.123051
188.888067,-46.710587,161.625421
35.251106,60.101275,75.317357
32.435117,74.978941,301.62059
127.602079,-79.007187,279.256143
198.967361,77.471268,194.944001
215.622614,7.429413,256.012819
7.674184,-45.031504,89.431582
327.029801,45.499588,225.864334
48.825485,41.579279,98.013099
67.640273,51.329127,202.988881
264.109234,75.811328,54.392089
157.908671,42.786641,334.16621
256.880822,-19.494063,180.912987
160.181489,-53.099607,43.583879
112.642562,-53.641896,98.603542
140.681568,-4.519205,304.948613
204.019946,51.7691,324.482
138.182049,-59.340488,228.870869
2.879706,42.95156,51.899459
226.025557,2.33718,145.819804
36.387903,80.641937,242.210767
158.429213,71.239394,189.652387
77.512294,37.169464,51.878243
357.271953,49.590685,94.902245
165.993361,23.386296,10.664988
356.450196,26.106407,218.46251
263.149521,2.029242,2.664714
46.578834,1.621758,10.619467
336.75856,42.73167,339.768979
140.244094,3.19002,101.116419
46.465177,57.17017,61.166162
177.080149,-16.827299,311.055982
345.543408,-35.641284,325.441183
155.198386,-61.049252,30.324368
5.668061,-24.169124,25.204305
249.433165,35.217073,67.535419
160.706905,80.620994,136.794081
203.526475,-77.780144,113.502612
25.219926,-3.517129,140.646663
217.077316,71.818665,35.324533
79.93041,-28.870768,308.123352
222.519785,-47.550012,268.600697
327.715774,-40.78967,177.590359
65.120605,-36.65913,340.866916
128.774762,41.096195,241.387525
358.204964,-56.123786,240.383303
