right ascension (deg),declination (deg),roll (deg)
82.72,-14.49,236.4
359.04,-41.06,260.22
249.62,-56.37,317.86
52.26,-51.04,164.28
306.42,-72.73,347.18
219.51,-25.83,182.59
0.92,-51.14,62.73
2.07,-44.72,55.27
217.32,-48.32,119.64
344.72,-34.94,323.2
58.52,-46.03,115.51
358.45,-40.32,304.19
268.89,-26.14,57.83
171.06,-27.92,246.44
332.02,-30.36,247.21
324.81,-63.16,44.34
270.18,-13.31,147.62
301.71,-58.27,31.67
137.39,-18.35,262.01
12.06,-87.59,182.18
217.21,-46.8,345.84
146.64,-79.66,141.47
258.12,-73.14,341.86
62.82,-34.06,220.84
197.79,-23.84,88.39
115.09,-42.06,116.51
231.0,-19.52,228.43
180.85,-48.84,267.75
297.93,-80.34,144.25
180.58,-70.75,269.0
258.44,-46.31,194.23
359.79,-64.48,17.89
55.04,-34.2,299.98
337.46,-53.01,44.72
174.05,-11.07,37.1
174.07,-48.41,146.73
187.82,-50.73,92.29
190.88,-48.79,109.94
45.18,-85.05,342.73
304.75,-89.92,324.68
170.98,-46.05,288.54
170.69,-64.4,287.84
271.17,-69.91,279.09
254.53,-78.58,128.16
227.2,-20.83,57.03
236.19,-16.69,122.26
134.88,-55.34,220.7
188.1,-32.08,138.99
157.67,-35.71,65.74
265.84,-27.0,119.45
286.01,-8.78,334.58
294.92,-60.11,320.81
319.31,-33.36,149.23
353.71,-15.48,280.13
252.34,-26.37,118.91
180.11,-39.94,296.61
104.08,-1.11,171.5
15.15,-47.44,326.1
210.03,-21.37,138.62
199.95,-1.33,274.52
28.29,-71.29,243.21
358.16,-9.38,60.01
55.99,-61.97,53.68
323.88,-84.56,137.78
269.0,-14.92,274.3
177.5,-84.89,140.16
135.98,-41.79,307.21
316.18,-53.44,143.66
292.64,-20.7,165.17
154.9,-76.21,299.23
12.2,-43.33,28.6
144.15,-20.74,219.71
98.1,-60.51,257.92
88.57,-48.54,290.04
162.59,-60.51,189.58
127.43,-82.26,146.91
301.91,-30.62,258.02
182.62,-57.29,317.08
294.65,-50.49,89.5
255.0,-64.51,214.65
120.93,-44.33,199.98
60.12,-32.22,263.78
241.48,-54.62,307.65
220.3,-32.72,194.17
2.13,-50.6,56.9
282.29,-59.65,266.68
9.21,-67.55,180.32
63.85,-52.55,166.72
256.05,-17.6,165.97
182.15,-9.44,154.13
250.8,-37.02,168.92
163.16,-68.67,358.42
111.61,-27.42,128.38
123.54,-34.87,286.04
262.17,-76.81,358.89
25.21,-16.53,127.44
281.82,-14.49,126.16
263.47,-9.71,225.08
20.53,-9.95,9.52
135.42,-42.71,68.74
