right ascension (deg),declination (deg),roll (deg)
83.76,53.88,47.96
266.6,89.4,113.95
144.51,-3.27,42.34
295.77,11.64,306.37
231.55,-77.2,255.39
121.99,-78.52,54.78
295.31,-67.92,44.7
223.08,-27.73,75.87
17.12,10.14,5.1
181.97,31.84,344.15
72.86,20.15,98.96
60.91,76.91,173.48
225.79,-38.51,228.96
175.32,22.57,224.27
147.45,-40.11,97.32
175.53,-4.93,318.98
194.73,-71.59,308.97
291.49,17.42,293.39
155.41,-30.13,348.27
24.98,-59.3,178.17
136.27,19.51,320.63
261.88,48.66,69.44
160.29,86.66,42.95
349.91,-51.17,329.49
251.98,-38.54,343.67
41.26,-77.13,113.2
203.94,-37.98,244.64
301.43,-85.04,306.0
167.01,-83.93,271.29
96.29,14.42,77.58
293.93,-56.85,183.6
107.67,51.91,155.71
244.87,17.46,114.75
245.61,-43.77,249.05
261.36,48.94,11.77
153.31,-66.83,293.77
87.27,76.8,214.2
196.65,40.12,336.86
235.14,-65.7,123.56
241.93,78.69,54.73
342.94,-63.35,27.27
237.04,26.36,256.07
152.42,-35.57,161.27
297.94,42.53,266.04
288.09,85.93,297.12
188.89,-46.71,161.64
35.26,60.1,75.35
355.49,-64.79,151.65
115.87,-85.57,254.79
32.44,74.98,301.6
127.61,-79.01,279.24
198.97,77.47,194.95
215.62,7.43,255.98
7.67,-45.03,89.43
327.03,45.5,225.87
48.83,41.58,98.02
67.64,51.33,202.97
103.23,79.16,44.77
264.11,75.81,54.39
157.91,42.79,334.18
256.88,-19.49,180.92
160.18,-53.1,43.58
112.64,-53.64,98.61
140.68,-4.52,304.96
204.01,51.77,324.45
138.18,-59.34,228.87
2.88,42.95,51.9
226.02,2.34,145.8
354.98,8.33,54.59
36.37,80.64,242.22
158.44,71.24,189.66
77.51,37.17,51.88
357.27,49.59,94.9
58.8,-83.22,283.76
165.99,23.39,10.62
356.45,26.11,218.46
263.15,2.03,2.67
46.58,1.62,10.61
336.76,42.73,339.79
140.24,3.19,101.14
46.46,57.17,61.15
112.52,16.61,352.54
177.08,-16.83,311.05
159.33,38.12,213.61
312.93,-39.18,88.78
345.54,-35.64,325.43
155.2,-61.05,30.33
5.66,-24.17,25.18
249.44,35.21,67.52
160.73,80.62,136.81
203.53,-77.78,113.49
25.22,-3.52,140.65
217.08,71.82,35.32
79.93,-28.87,308.11
222.52,-47.55,268.61
327.72,-40.79,177.59
65.12,-36.66,340.87
128.77,41.1,241.42
358.21,-56.13,240.35
66.0,-79.82,254.83
